Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",0805,6,0.1 µF,
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,12,WS2812B,
J1,PinSocket_1x06_P2.54mm_Horizontal,1,Connect to Upper Module/Motherboard,
J2,PinHeader_1x06_P2.54mm_Horizontal,1,Connect to Lower Module,
J3,PinHeader_1x06_P2.54mm_Vertical,1,Modular Inputs,
"R1, R10, R11, R12, R2, R3, R4, R5, R6, R7, R8, R9",0805,12,11k,
"SW1, SW10, SW11, SW12, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_Cherry_MX_1.00u_Plate,12,SW_Push,
"U1, U2",SOIC127P600X175-16N,2,74HC165,
